site,visit,species,count,distance,notes,collar
OBRICHRMD1,6,squirrel,1,1,,
OBRICHRMD1,6,squirrel,1,14,,
OBRICHRMD1,6,dog,0,,,
OLONMARDC1,1,cat,0,,,
OLONMARDC1,2,cat,0,,,
OLONMARDC1,3,cat,0,,,
OLONMARDC1,4,cat,0,,,
OLONMARDC1,4,squirrel,0,,,
OLONMARDC1,4,dog,0,,,
OLONMARDC1,5,cat,1,10,Meiggs,U
OLONMARDC1,5,cat,1,50,Muffin,U
OLONMARDC1,5,squirrel,0,,,
OLONMARDC1,5,dog,0,,,
OLONMARDC1,6,cat,0,,,
OLONMARDC1,6,squirrel,0,,,
OLONMARDC1,6,dog,0,,,
ONTAHOUDC1,1,cat,0,,,
ONTAHOUDC1,2,cat,0,,,
ONTAHOUDC1,3,cat,0,,,
ONTAHOUDC1,4,cat,0,,,
ONTAHOUDC1,4,squirrel,1,2,,
ONTAHOUDC1,4,squirrel,1,3,,
ONTAHOUDC1,4,squirrel,1,2,,
ONTAHOUDC1,4,dog,0,,,
ONTAHOUDC1,5,cat,0,,,
ONTAHOUDC1,5,squirrel,0,,,
ONTAHOUDC1,5,dog,0,,,
ONTAHOUDC1,6,cat,0,,,
ONTAHOUDC1,6,squirrel,0,,,
ONTAHOUDC1,6,dog,1,6,,
PADORAMVA1,1,cat,0,,,
PADORAMVA1,2,cat,0,,,
PADORAMVA1,3,cat,0,,,
PADORAMVA1,4,cat,0,,,
PADORAMVA1,5,cat,0,,,
PADORAMVA1,5,squirrel,1,10,,
PADORAMVA1,5,dog,0,,,
PADORAMVA1,6,cat,0,,,
PADORAMVA1,6,squirrel,0,,,
PADORAMVA1,6,dog,0,,,
PERRCHRMD1,1,cat,0,,,
PERRCHRMD1,2,cat,0,,,
PERRCHRMD1,3,cat,0,,,
PERRCHRMD1,3,squirrel,0,,,
PERRCHRMD1,3,dog,0,,,
PERRCHRMD1,4,cat,0,,,
PERRCHRMD1,4,squirrel,0,,,
PERRCHRMD1,4,dog,1,14,,
PERRCHRMD1,5,cat,0,,,
PERRCHRMD1,5,squirrel,0,,,
PERRCHRMD1,5,dog,1,11,,
PERRCHRMD1,6,cat,0,,,
PERRCHRMD1,6,squirrel,0,,,
PERRCHRMD1,6,dog,0,,,
PHARAIMMD1,1,cat,0,,,
PHARAIMMD1,2,cat,0,,,
PHARAIMMD1,3,cat,0,,,
PHARAIMMD1,3,squirrel,0,,,
PHARAIMMD1,3,dog,0,,,
PHARAIMMD1,4,cat,0,,,
PHARAIMMD1,4,squirrel,0,,,
PHARAIMMD1,4,dog,0,,,
PHARAIMMD1,5,cat,0,,,
PHARAIMMD1,5,squirrel,0,,,
PHARAIMMD1,5,dog,0,,,
PHARAIMMD1,6,cat,0,,,
PHARAIMMD1,6,squirrel,0,,,
PHARAIMMD1,6,dog,1,15,,
PIROELADC1,1,cat,1,10,Ermine,Y
PIROELADC1,2,cat,0,,,
PIROELADC1,3,cat,0,,,
PIROELADC1,3,squirrel,0,,,
PIROELADC1,3,dog,0,,,
PIROELADC1,4,cat,0,,,
PIROELADC1,4,squirrel,1,10,,
PIROELADC1,4,dog,0,,,
PIROELADC1,5,cat,0,,,
PIROELADC1,5,squirrel,0,,,
PIROELADC1,5,dog,0,,,
PIROELADC1,6,cat,1,6,Ermine,Y
PIROELADC1,6,squirrel,0,,,
PIROELADC1,6,dog,0,,,
REITBOBMD1,1,cat,0,,,
REITBOBMD1,2,cat,1,20,Brian,N
REITBOBMD1,3,cat,0,,,
REITBOBMD1,4,cat,0,,,
REITBOBMD1,5,cat,1,12,Benjamin,N
REITBOBMD1,5,cat,1,13,Brody,N
REITBOBMD1,5,cat,1,7,Brian,U
REITBOBMD1,5,cat,1,11,Bean,U
REITBOBMD1,5,squirrel,0,,,
REITBOBMD1,5,dog,0,,,
REITBOBMD1,6,cat,0,,,
REITBOBMD1,6,squirrel,0,,,
REITBOBMD1,6,dog,1,12,,
ROHRSALMD1,1,cat,0,,,
ROHRSALMD1,2,cat,0,,,
ROHRSALMD1,3,cat,0,,,
