"bandNumber","site","date","age","sex","mass","wing","species"
"1272-42405","STANJEFMD1","2012-05-23","AHY","M",73.4,124,"AMRO"
"1272-42406","STANJEFMD1","2012-05-23","AHY","F",73.4,123,"AMRO"
"1272-42411","MCDOELIVA1","2012-06-04","AHY","M",74.9,129,"AMRO"
"1272-42412","MCDOELIVA1","2012-06-04","AHY","U",70.3,125,"AMRO"
"1272-42413","JACOMERMD1","2012-06-22","AHY","F",77.3,121,"AMRO"
"1272-42414","ONTAHOUDC1","2012-07-11","AHY","M",49.1,110,"NOMO"
"1272-42415","ONTAHOUDC1","2012-07-11","AHY","F",61.6,126,"AMRO"
"1272-42416","ONTAHOUDC1","2012-07-11","AHY","M",78.1,125,"AMRO"
"1272-42421","BROWANNDC1","2012-07-19","HY","U",74,127,"AMRO"
"1272-42426","BURDROBVA1","2013-07-24","HY","U",76.5,114,"AMRO"
"1272-42427","BURDROBVA1","2013-07-24","AHY","F",72.7,125,"AMRO"
"1272-42487","OLONMARDC1","2015-07-14","AHY","F",77.7,125,"AMRO"
"1272-42488","ONTAHOUDC1","2015-06-16","AHY","M",71.4,132,"AMRO"
"1272-42498","BALASUCMD1","2015-05-16","AHY","M",76.2,130,"AMRO"
"1272-42499","BALASUCMD1","2015-05-16","AHY","F",58.1,127,"AMRO"
"1272-43006","WOLFAMYDC1","2008-06-05","AHY","M",74.1,123,"AMRO"
"1272-43010","FISHFERVA1","2008-06-22","AHY","F",72.6,125,"AMRO"
"1272-43015","BUISNORVA1","2008-07-13","AHY","M",70.4,125,"AMRO"
"1272-43016","BUISNORVA1","2008-07-13","HY","U",68.9,123,"AMRO"
"1272-43050","MANNJANDC1","2010-07-01","AHY","F",65.8,125,"AMRO"
"1272-43052","WILLTERMD1","2010-06-28","AHY","M",79,129,"AMRO"
"1272-43053","CLARCOLDC1","2010-06-25","AHY","M",70.1,129,"AMRO"
"1272-43069","BROWANNDC1","2010-05-19","AHY","M",69.8,129.5,"AMRO"
"1272-43070","FARYSIMMD1","2010-05-15","AHY","F",53.4,111,"NOMO"
"1272-43085","VONGJENMD1","2010-05-10","AHY","F",69.1,124,"AMRO"
"1272-43086","VONGJENMD1","2010-05-10","AHY","F",84.1,121,"AMRO"
"1272-43104","VONGJENMD1","2008-06-12","AHY","M",66.5,131,"AMRO"
"1272-43107","GERYERIMD1","2008-07-09","HY","U",76.8,128,"AMRO"
"1272-43123","SILLSCOMD1","2010-06-24","AHY","F",79.1,125,"AMRO"
"1272-43131","ONTAHOUDC1","2010-07-20","HY","U",68.3,125.5,"AMRO"
