"bandNumber","site","date","age","sex","mass","wing","species"
"2250-24369","SCHLROBMD1","2002-09-17","U","U",9.2,61,"CACH"
"2250-24370","SCHLROBMD1","2002-09-17","AHY","U",9.1,64,"CACH"
"2250-24372","SCHLROBMD1","2002-09-17","HY","U",8.4,60,"CACH"
"2250-24380","BARBJERMD1","2002-09-18","U","U",9.1,58.5,"CACH"
"2250-24381","BARBJERMD1","2002-09-18","AHY","U",9.9,60,"CACH"
"2250-24382","BARBJERMD1","2002-09-18","AHY","U",8.7,59.5,"CACH"
"2250-24383","BARBJERMD1","2002-09-18","U","U",9.8,62,"CACH"
"2250-24384","BARBJERMD1","2002-09-18","AHY","U",8.8,60,"CACH"
"2250-24385","BARBJERMD1","2002-09-18","AHY","U",9,60,"CACH"
"2250-24386","STURCARMD1","2002-09-20","HY","U",10.4,63,"CACH"
"2250-24393","STURCARMD1","2002-09-20","AHY","U",9.9,62,"CACH"
"2250-24394","STURCARMD1","2002-09-20","AHY","U",9.6,62,"CACH"
"2250-24396","STURCARMD1","2002-09-20","AHY","U",8.4,59,"CACH"
"2250-24398","TATEJUAMD1","2002-10-02","AHY","U",9.5,59,"CACH"
"2250-24399","TATEJUAMD1","2002-10-02","HY","U",9.2,59,"CACH"
"2250-24400","TATEJUAMD1","2002-10-02","U","U",8.9,61,"CACH"
"2250-24404","STANJEFMD1","2001-06-18","AHY","M",10.3,55,"HOWR"
"2250-24405","STANJEFMD1","2001-06-18","HY","U",8.8,59,"CACH"
"2250-24406","STANJEFMD1","2001-06-18","HY","U",9.9,61.5,"CACH"
"2250-24407","STANJEFMD1","2001-06-18","AHY","F",8.5,46,"HOWR"
"2250-24408","STANJEFMD1","2001-06-18","AHY","M",11.8,54,"HOWR"
"2250-24409","STANJEFMD1","2001-06-18","AHY","F",11.8,47,"HOWR"
"2250-24413","MANNJANDC1","2001-06-22","AHY","M",10.4,51.5,"HOWR"
"2250-24414","MANNJANDC1","2001-06-22","AHY","U",9.8,67.5,"CACH"
"2250-24415","MANNJANDC1","2001-06-22","AHY","F",9.8,65,"CACH"
"2250-24416","MISSEDDC1","2001-06-22","AHY","M",10.9,51.5,"HOWR"
"2250-24614","MOSMCARMD1","2002-06-08","AHY","M",10.2,50.5,"HOWR"
"2250-24615","MOSMCARMD1","2002-06-08","HY","U",9.6,63,"CACH"
"2250-24616","MOSMCARMD1","2002-06-08","AHY","M",10.1,52,"HOWR"
"2250-24626","BLOCDAVMD1","2002-06-23","AHY","M",10.5,51,"HOWR"
"2250-24627","BLOCDAVMD1","2002-06-23","U","U",9.3,58,"CACH"
"2250-24632","TATEJUAMD1","2002-07-18","HY","F",9.4,61,"CACH"
"2250-24634","SCHLROBMD1","2002-07-22","AHY","F",11.2,52,"HOWR"
"2250-24635","SCHLROBMD1","2002-07-22","HY","U",9.8,51,"CACH"
"2250-24645","BARBJERMD1","2002-08-01","U","U",11,64,"CACH"
"2250-24646","BARBJERMD1","2002-08-01","HY","U",9.2,57.5,"CACH"
"2250-24686","TATEJUAMD1","2002-10-02","U","U",9.1,67,"CACH"
"2250-24965","SALOSHEMD1","2003-04-29","AHY","M",9.7,64,"CACH"
"2250-24966","SALOSHEMD1","2003-04-29","AHY","M",9.7,52,"HOWR"
"2250-24970","MOSMCARMD1","2003-05-08","AHY","F",13.6,48.5,"HOWR"
"2250-24973","MOSMCARMD1","2003-05-08","AHY","M",11.2,49.5,"HOWR"
"2250-24974","MOSMCARMD1","2003-05-08","AHY","F",8.7,59.5,"CACH"
"2250-24993","BLOCDAVMD1","2003-06-16","HY","U",8.9,58.5,"CACH"
"2250-24994","TATEJUAMD1","2003-06-16","AHY","M",10.3,50,"HOWR"
"2250-24999","BARBJERMD1","2003-07-10","HY","U",NA,NA,"CACH"
"2250-90369","ROHRSALMD1","2003-05-07","AHY","F",8.8,56,"CACH"
"2250-90370","STURCARMD1","2003-05-08","AHY","M",10.5,53,"HOWR"
"2250-90371","STURCARMD1","2003-05-08","AHY","F",12.2,47,"HOWR"
"2250-90376","FARYSIMMD1","2003-05-09","AHY","U",9.9,63,"CACH"
"2250-90414","COLSKATMD1","2002-04-26","AHY","M",10.8,66,"CACH"
"2250-90456","CAMPGLOMD1","2002-06-20","AHY","M",12,53,"HOWR"
"2250-90474","STURCARMD1","2002-07-19","HY","U",9.2,58,"CACH"
"2250-90476","STURCARMD1","2002-07-19","HY","U",10.1,82,"CACH"
"2250-90477","STURCARMD1","2002-07-19","AHY","M",11.4,50,"HOWR"
"2250-90478","SCHLROBMD1","2002-07-02","AHY","M",10,62,"CACH"
"2251-80100","STANJEFMD1","2008-06-11","AHY","M",20.6,58,"CARW"
"2251-80301","BEALTOMMD1","2008-06-20","AHY","M",20.5,60.5,"CARW"
"2251-80302","BEALTOMMD1","2008-06-20","AHY","F",17.5,56,"CARW"
"2251-80308","STURCARMD1","2008-07-02","HY","U",20,58,"CARW"
"2251-80309","STURCARMD1","2008-07-02","HY","U",17.5,55,"CARW"
"2251-80318","KESTSABDC1","2008-07-18","AHY","M",20,68,"SOSP"
"2251-80326","VONGJENMD1","2010-05-10","AHY","M",21.8,65,"SOSP"
"2251-80327","VONGJENMD1","2010-05-10","AHY","M",21,66,"SOSP"
"2251-80328","VONGJENMD1","2010-05-10","AHY","M",19.5,65,"SOSP"
"2251-80329","VONGJENMD1","2010-05-10","AHY","F",16.6,59.5,"CARW"
"2251-80330","ZAMBTRAMD1","2010-05-11","AHY","F",21.2,64,"SOSP"
"2251-80336","FARYSIMMD1","2010-05-15","AHY","M",21.4,77,"SOSP"
"2251-80337","FARYSIMMD1","2010-05-15","AHY","F",23,65,"SOSP"
"2251-80338","WOLFAMYDC1","2010-05-20","AHY","M",20.1,64,"SOSP"
"2251-80342","STURCARMD1","2010-06-01","AHY","F",18,58,"CARW"
"2251-80353","CLARCOLDC1","2010-06-25","AHY","F",20.6,58,"CARW"
"2251-80356","WILLTERMD1","2010-06-28","AHY","M",19.4,61,"CARW"
"2251-80359","COLSKATMD1","2010-06-30","HY","U",18.3,61,"SOSP"
"2251-80360","COLSKATMD1","2010-06-30","AHY","M",22.9,66,"SOSP"
"2251-80361","COLSKATMD1","2010-06-30","AHY","F",18.1,58,"CARW"
"2251-80364","GECACARVA1","2010-07-02","AHY","M",20.4,68,"SOSP"
"2251-80365","GECACARVA1","2010-07-02","AHY","F",19.7,65,"SOSP"
"2251-80366","GECACARVA1","2010-07-02","AHY","M",20.2,65,"SOSP"
"2251-80367","GECACARVA1","2010-07-02","AHY","M",20.3,66,"SOSP"
"2251-80368","GECACARVA1","2010-07-02","AHY","F",16.2,56,"CARW"
"2251-80369","GECACARVA1","2010-07-02","U","U",18.1,58,"CARW"
"2251-80370","REITBOBMD1","2010-07-06","AHY","M",21.5,65,"SOSP"
"2251-80372","PERRCHRMD1","2010-07-07","AHY","M",20,62,"CARW"
"2251-80374","SCHLROBMD1","2010-07-12","U","U",20.4,63,"CARW"
"2251-80383","PIROELADC1","2010-07-21","AHY","M",21.7,66,"SOSP"
"2251-80390","WOLFKARDC1","2010-07-27","AHY","F",18.5,62,"SOSP"
"2251-80391","WOLFKARDC1","2010-07-27","AHY","M",19.3,62,"SOSP"
"2251-80494","SALOSHEMD1","2007-06-19","AHY","F",19.7,59,"CARW"
"2251-80496","FARYSIMMD1","2007-05-25","AHY","M",23,63,"SOSP"
"2251-80497","FARYSIMMD1","2007-05-25","AHY","M",20.2,65,"SOSP"
"2251-80499","MANNJANDC1","2007-05-23","AHY","M",20.3,65,"SOSP"
"2251-80500","STANJEFMD1","2007-05-24","AHY","M",20.4,67,"SOSP"
"2251-80503","STANJEFMD1","2006-06-17","AHY","F",NA,NA,"GRCA"
"2251-80511","STURCARMD1","2006-06-06","AHY","M",37.5,91,"GRCA"
"2251-80512","STURCARMD1","2006-06-06","AHY","M",34.5,89,"GRCA"
"2251-80513","TATEJUAMD1","2006-06-07","AHY","F",35,91,"GRCA"
"2251-80515","STANJEFMD1","2006-06-17","AHY","F",35,89,"GRCA"
"2251-80516","STANJEFMD1","2006-06-17","AHY","F",37,86,"GRCA"
"2251-80517","STANJEFMD1","2006-06-17","AHY","M",36,92,"GRCA"
"2251-80518","STANJEFMD1","2006-06-17","AHY","F",40,85,"GRCA"
"2251-80519","STANJEFMD1","2006-06-17","AHY","M",37,91,"GRCA"
"2251-80520","STANJEFMD1","2006-06-17","AHY","M",39,92,"GRCA"
"2251-80521","STANJEFMD1","2006-06-17",NA,NA,NA,NA,"GRCA"
"2251-80522","TATEJUAMD1","2006-06-19","AHY","M",NA,NA,"GRCA"
"2251-80523","TATEJUAMD1","2006-06-19","AHY","M",NA,NA,"GRCA"
"2251-80524","TATEJUAMD1","2006-06-19","AHY","F",NA,NA,"GRCA"
"2251-80525","TATEJUAMD1","2006-06-19","AHY","M",NA,NA,"GRCA"
"2251-80701","REITBOBMD1","2006-05-25","AHY","M",NA,NA,"GRCA"
"2251-80702","REITBOBMD1","2006-05-25","AHY","M",NA,NA,"GRCA"
"2251-80703","REITBOBMD1","2006-05-25","AHY","M",NA,NA,"GRCA"
"2251-80704","FARYSIMMD1","2006-05-25","AHY","F",28.6,91,"GRCA"
"2251-80711","TATEJUAMD1","2006-05-27","AHY","U",NA,NA,"GRCA"
"2251-80712","TATEJUAMD1","2006-05-27","AHY","M",39,93,"GRCA"
"2251-80713","TATEJUAMD1","2006-05-27","AHY","M",20.4,61,"CARW"
"2251-80714","TATEJUAMD1","2006-05-27","AHY","M",48.6,90,"GRCA"
"2251-80721","STURCARMD1","2006-06-02","AHY","M",40.3,94,"GRCA"
"2251-80722","TATEJUAMD1","2006-06-03","AHY","M",NA,NA,"GRCA"
"2251-80723","REITBOBMD1","2006-05-25","AHY","F",41,90,"GRCA"
"2251-80724","STANJEFMD1","2006-06-06","AHY","F",NA,NA,"SOSP"
"2251-80725","STANJEFMD1","2006-06-06","AHY","M",35.2,85,"GRCA"
"2251-80726","STANJEFMD1","2006-06-06","AHY","F",35.4,88,"GRCA"
"2251-80727","STANJEFMD1","2006-06-06","AHY","F",36.6,89,"GRCA"
"2251-80730","COLSKATMD1","2006-06-08","AHY","M",36.5,96,"GRCA"
"2251-80731","COLSKATMD1","2006-06-13","AHY","F",34.8,87,"GRCA"
"2251-80732","COLSKATMD1","2006-06-13","AHY","M",NA,NA,"SOSP"
"2251-80733","COLSKATMD1","2006-06-13","AHY","M",36,90,"GRCA"
"2251-80734","COLSKATMD1","2006-06-13","AHY","M",37.3,91,"GRCA"
"2251-80738","COLSKATMD1","2006-06-11","AHY","F",41.6,87,"GRCA"
"2251-80739","COLSKATMD1","2006-06-11","AHY","M",33.6,90,"GRCA"
"2251-80740","COLSKATMD1","2006-06-11","HY","U",NA,NA,"CARW"
"2251-80741","COLSKATMD1","2006-06-11","AHY","F",NA,NA,"SOSP"
"2251-80745","COLSKATMD1","2006-06-19","AHY","M",34.1,87,"GRCA"
"2251-80747","COLSKATMD1","2006-06-19","AHY","M",38.7,91,"GRCA"
"2251-80750","COLSKATMD1","2006-07-04","AHY","M",37.3,92,"GRCA"
"2251-80751","COLSKATMD1","2006-07-04","AHY","M",36.4,87,"GRCA"
"2260-22952","BEALTOMMD1","2008-06-20","AHY","F",9,57,"CACH"
"2261-38311","REITBOBMD1","2007-06-09","AHY","M",20.8,65,"SOSP"
"2261-38325","JACOMERMD1","2007-06-30","AHY","M",20.4,65,"SOSP"
"2261-38327","TATEJUAMD1","2007-06-27",NA,NA,NA,NA,"CARW"
"2261-38328","TATEJUAMD1","2007-06-27","AHY","M",19.2,59,"CARW"
"2261-38329","PHARAIMMD1","2007-06-26","AHY","M",23.4,59,"CARW"
"2261-38333","GECACARVA1","2007-07-13","AHY","M",21,60,"SOSP"
"2261-38339","GERYERIMD1","2007-07-21","AHY","F",18.2,61,"SOSP"
"2261-38342","GERYERIMD1","2007-07-21","AHY","F",19.2,68,"SOSP"
"2261-38343","GERYERIMD1","2007-07-21","AHY","F",18.2,63,"SOSP"
"2261-38346","ZAMBTRAMD1","2007-07-23","AHY","F",16.2,55,"CARW"
"2261-38349","JACOMERMD1","2007-07-28","HY","U",18.5,63,"SOSP"
"2280-90102","BRIGKIMMD1","2002-06-17","AHY","M",19.7,65,"SOSP"
"2281-69101","MOLIKARMD1","2007-06-07","AHY","M",23,63,"SOSP"
"2281-69103","VERSBETMD1","2007-06-12","AHY","M",21,61,"CARW"
"2281-69111","KEYESUSMD1","2007-06-28","AHY","M",46,90,"CARW"
"2281-69118","LANDCELVA1","2007-07-07","AHY","M",19.5,59,"CARW"
"2281-69120","OLONMARDC1","2007-07-11","AHY","M",21,69,"SOSP"
"2281-69131","MOSMCARMD1","2007-07-27","HY","U",20,61,"CARW"
"2281-69218","WOLFAMYDC1","2007-07-13","AHY","M",19.2,61,"SOSP"
"2281-69226","PIROELADC1","2007-07-24","AHY","M",21.6,64,"SOSP"
"2281-69227","PIROELADC1","2007-07-24","AHY","F",18.9,58,"CARW"
"2281-69404","COLSKATMD1","2007-06-12","AHY","M",19.2,66,"SOSP"
"2281-69405","WOLFKARDC1","2007-06-13","AHY","M",21.5,65,"SOSP"
"2281-69406","STEWBETMD1","2007-06-15","AHY","M",20.9,66,"SOSP"
"2281-69407","STEWBETMD1","2007-06-19","AHY","M",19.7,67,"SOSP"
"2281-69408","STEWBETMD1","2007-06-15","AHY","M",20.5,68,"SOSP"
"2281-69409","STEWBETMD1","2007-06-15","AHY","M",22.1,63,"SOSP"
"2281-69413","BROWANNDC1","2007-06-20","AHY","M",22.4,67,"SOSP"
"2281-69425","BUISNORVA1","2007-06-30","AHY","M",20,67,"SOSP"
"2281-69426","BUISNORVA1","2007-06-30","AHY","M",21.6,64,"SOSP"
"2281-69427","NEWBCARVA1","2007-07-02","AHY","F",19.5,57,"CARW"
"2281-69437","BURDROBVA1","2007-07-11","HY","U",20.1,79,"SOSP"
"2281-69438","BURDROBVA1","2007-07-11","HY","U",19.5,76,"SOSP"
"2281-69439","BURDROBVA1","2007-07-11","AHY","M",21.3,60,"CARW"
"2281-69440","BURDROBVA1","2007-07-11","AHY","F",19.7,64,"SOSP"
"2281-69441","BURDROBVA1","2007-07-11","AHY","M",20.9,69,"SOSP"
"2281-69442","BURDROBVA1","2007-07-11","AHY","M",20.6,61,"SOSP"
"2281-69443","MCDOELIVA1","2007-07-12","AHY","M",21.5,62,"SOSP"
"2281-69444","MCDOELIVA1","2007-07-12","U","U",18.2,62,"CARW"
"2281-69445","PADORAMVA1","2007-07-14","AHY","M",20.7,57,"CARW"
"2281-69449","BRIGKIMMD1","2007-07-19","HY","U",16.6,56,"CARW"
"2281-69450","BRIGKIMMD1","2007-07-19","AHY","F",20.3,61,"CARW"
"2281-69453","COLSKATMD1","2007-07-21","AHY","F",20,65,"SOSP"
"2281-69454","CLARCOLDC1","2007-07-21","AHY","F",19.1,66,"SOSP"
"2281-69466","CAMPGLOMD1","2008-06-09","AHY","M",22.6,60,"CARW"
"2281-69468","CAMPGLOMD1","2008-06-09","AHY","F",17.5,58,"CARW"
"2281-69469","VERSBETMD1","2008-06-11","AHY","F",18.5,55,"CARW"
"2281-69470","VERSBETMD1","2008-06-11","AHY","M",21.3,56,"CARW"
"2281-69475","MOLIKARMD1","2008-06-17","AHY","F",17.2,57,"CARW"
"2281-69476","MOLIKARMD1","2008-06-17","AHY","M",21.3,58,"CARW"
"2281-69477","MOLIKARMD1","2008-06-17","AHY","M",22,66,"SOSP"
"2281-69486","LANDCELVA1","2008-07-01","AHY","F",22.5,65,"SOSP"
"2281-69487","LANDCELVA1","2008-07-01","HY","U",18.7,46,"CARW"
"2281-69491","STEWBETMD1","2008-07-08","AHY","M",20.4,65,"SOSP"
"2281-69500","ZAMBTRAMD1","2008-07-18","HY","U",18.8,56,"CARW"
"2301-55915","OBRICHRMD1","2008-05-28","AHY","M",38.2,86,"GRCA"
"2301-55929","BALASUCMD1","2008-06-07","AHY","M",41.6,92,"NOCA"
"2301-55930","BALASUCMD1","2008-06-07","AHY","F",42.8,91,"NOCA"
"2301-55933","STANJEFMD1","2008-06-11","AHY","F",43.2,89,"GRCA"
"2301-55934","STANJEFMD1","2008-06-11","AHY","F",37,85,"GRCA"
"2301-55935","STANJEFMD1","2008-06-11","AHY","M",44.7,92,"NOCA"
"2301-55936","STANJEFMD1","2008-06-11","AHY","F",47.8,89,"NOCA"
"2301-55938","FARYSIMMD1","2008-06-16","AHY","M",NA,NA,"GRCA"
"2301-55939","FARYSIMMD1","2008-06-13","AHY","M",34.8,89,"GRCA"
"2301-55941","TATEJUAMD1","2008-06-14","HY","M",37.9,85,"NOCA"
"2301-55942","TATEJUAMD1","2008-06-14","AHY","F",36.1,87.1,"GRCA"
"2301-55943","TATEJUAMD1","2008-06-14","AHY","M",34,89,"GRCA"
"2301-55944","TATEJUAMD1","2008-06-14","AHY","F",36.9,89,"GRCA"
"2301-55945","TATEJUAMD1","2008-06-14","AHY","F",42.6,92.5,"NOCA"
"2301-55946","PHARAIMMD1","2008-06-16","AHY","F",44.4,91,"NOCA"
"2301-55947","PHARAIMMD1","2008-06-14","AHY","M",41.9,89,"NOCA"
"2301-55948","PHARAIMMD1","2008-06-16","AHY","M",47.8,99,"NOCA"
"2301-55949","COLSKATMD1","2008-06-17","AHY","M",33.8,96,"GRCA"
"2301-55959","PADORAMVA1","2008-06-23","AHY","M",36.1,87.5,"GRCA"
"2301-55960","PADORAMVA1","2008-06-23","AHY","M",NA,NA,"GRCA"
"2301-55971","CLARCOLDC1","2008-07-03","AHY","M",40.3,92.5,"GRCA"
"2301-55972","BURDROBVA1","2008-07-08","AHY","F",46.5,93,"NOCA"
"2301-55973","BURDROBVA1","2008-07-08","AHY","M",37.3,90,"GRCA"
"2301-55974","BURDROBVA1","2008-07-08","ASY","M",42.3,92.5,"NOCA"
"2301-55978","BROWANNMD1","2008-07-11","SY","M",35.8,85,"GRCA"
"2301-56003","MOLIKARMD1","2007-06-07","AHY","M",37.3,86,"GRCA"
"2301-56016","BARBJERMD1","2007-06-27","AHY","M",41.2,91,"NOCA"
"2301-56017","BARBJERMD1","2007-06-27","AHY","F",43.5,89,"NOCA"
"2301-56018","KEYESUSMD1","2007-06-28","AHY","F",46,90,"NOCA"
"2301-56026","OLONMARDC1","2007-07-11","AHY","F",35,90,"GRCA"
"2301-56046","VONGJENMD1","2008-06-12","AHY","F",34,85,"GRCA"
"2301-56047","VONGJENMD1","2008-06-12","HY","U",33.3,87,"NOCA"
"2301-56048","MORRCHRVA1","2008-06-16","AHY","M",36.2,92,"NOCA"
"2301-56049","MORRCHRVA1","2008-06-16","AHY","M",28.8,90,"GRCA"
"2301-56053","JACOMERMD1","2008-06-20","AHY","F",35.1,85,"GRCA"
"2301-56072","SILLSCOMD1","2008-07-07","AHY","M",44.4,93,"NOCA"
"2301-56073","SILLSCOMD1","2008-07-07","AHY","F",43.3,90,"NOCA"
"2301-56075","NEWBCARVA1","2008-07-11","AHY","F",31.3,90,"GRCA"
"2301-56501","PERRCHRMD1","2009-05-08","AHY","M",44,97,"NOCA"
"2301-56502","CAMPGLOMD1","2009-05-12","AHY","M",43,99,"NOCA"
"2301-56503","STEWBETMD1","2009-05-13","AHY","M",35,91.5,"GRCA"
"2301-56504","STEWBETMD1","2009-05-13","AHY","F",38,85,"GRCA"
"2301-56507","ZAMBTRAMD1","2009-05-15","AHY","M",33,90.5,"GRCA"
"2301-56508","EGANMARMD1","2009-05-18","AHY","U",NA,NA,"GRCA"
"2301-56509","EGANMARMD1","2009-05-18","AHY","M",NA,NA,"NOCA"
"2301-56510","CAMPGLOMD1","2009-05-12","AHY","M",35,92,"GRCA"
"2301-56511","EGANMARMD1","2009-05-18","AHY","M",77,106,"NOCA"
"2301-56512","STANJEFMD1","2009-05-07","AHY","M",NA,NA,"GRCA"
"2301-56538","BUISNORVA1","2008-07-13","HY","U",33.5,82,"GRCA"
"2301-56539","BUISNORVA1","2008-07-13","HY","U",34.1,89,"GRCA"
"2301-56540","BUISNORVA1","2008-07-13","U","U",34.5,98,"GRCA"
"2301-56541","BUISNORVA1","2008-07-13","HY","U",35.4,90,"GRCA"
"2301-56542","BUISNORVA1","2008-07-13","AHY","M",43.3,92,"NOCA"
"2301-56543","BUISNORVA1","2008-07-13","AHY","M",44.7,100,"NOCA"
"2301-56545","BRIGKIMMD1","2008-07-11","AHY","F",31.6,85,"GRCA"
"2301-56546","BRIGKIMMD1","2008-07-11","AHY","M",37.5,96,"GRCA"
"2301-56551","MCDOELIVA1","2008-06-29","AHY","F",36.5,86,"GRCA"
"2301-56552","MCDOELIVA1","2008-06-29","HY","U",35.5,88,"GRCA"
"2301-56553","MCDOELIVA1","2008-06-29","AHY","M",NA,NA,"GRCA"
"2301-56554","MISSEDDC1","2008-06-27","HY","U",34.3,88,"GRCA"
"2301-56561","FISHFERVA1","2008-06-22","AHY","F",NA,NA,"NOCA"
"2301-56567","GECACARVA1","2008-06-18","AHY","M",35.2,85,"GRCA"
"2301-56578","MANNJANDC1","2008-06-10","AHY","M",46.4,98,"NOCA"
"2301-56580","MANNJANDC1","2008-06-10","AHY","F",40.2,92,"NOCA"
"2301-56588","WOLFAMYDC1","2008-06-05","AHY","F",44.2,91,"NOCA"
"2301-56597","ROHRSALMD1","2008-05-28","AHY","M",44,92,"NOCA"
"2301-56601","PERRCHRMD1","2008-05-28","AHY","F",39.8,90,"NOCA"
"2301-56602","PERRCHRMD1","2008-05-28","AHY","M",40.8,93,"NOCA"
"2301-56603","PERRCHRMD1","2008-05-28","AHY","F",48.5,87,"NOCA"
"2301-56604","PERRCHRMD1","2008-05-28","AHY","M",39.5,93,"NOCA"
"2301-56607","BARBJERMD1","2008-06-02","AHY","M",41,95,"NOCA"
"2301-56611","CAMPGLOMD1","2008-06-09","AHY","F",42.7,49,"NOCA"
"2301-56612","CAMPGLOMD1","2008-06-09","AHY","F",43.4,89,"NOCA"
"2301-56613","MOSMCARMD1","2008-06-10","HY","U",42.7,87,"NOCA"
"2301-56614","MOSMCARMD1","2008-06-10","AHY","M",45.4,97,"NOCA"
"2301-56617","MOLIKARMD1","2008-06-17","AHY","M",37.3,88,"GRCA"
"2301-56619","KEYESUSMD1","2008-06-20","AHY","F",39.8,87,"GRCA"
"2301-56620","KEYESUSMD1","2008-06-20","AHY","M",33.5,83,"GRCA"
"2301-56621","KEYESUSMD1","2008-06-20","AHY","M",47.3,96,"NOCA"
"2301-56622","SALOSHEMD1","2008-06-22","AHY","F",37.9,85,"GRCA"
"2301-56632","LANDCELVA1","2008-07-01","AHY","M",43.2,96,"NOCA"
"2301-56636","STEWBETMD1","2008-07-08","AHY","M",33.6,90,"GRCA"
"2301-56637","STEWBETMD1","2008-07-08","AHY","F",33.4,90,"GRCA"
"2301-56638","STEWBETMD1","2008-07-08","AHY","M",34.8,90,"GRCA"
"2301-56639","STEWBETMD1","2008-07-08","AHY","F",38,90,"NOCA"
"2301-56640","STEWBETMD1","2008-07-08","AHY","F",45.9,88,"NOCA"
"2301-56641","STEWBETMD1","2008-07-08","AHY","F",NA,NA,"NOCA"
"2301-56650","OLONMARDC1","2008-07-21","AHY","M",44.4,90,"NOCA"
"2301-56652","REITBOBMD1","2008-07-22","HY","U",32.8,87,"GRCA"
"2301-56653","REITBOBMD1","2008-07-22","HY","U",43.2,89,"NOCA"
"2301-56654","REITBOBMD1","2008-07-22","HY","U",33.1,86,"GRCA"
"2301-56655","REITBOBMD1","2008-07-22","AHY","F",43.4,92,"NOCA"
"2301-56785","REITBOBMD1","2008-06-24","AHY","M",36.2,92,"GRCA"
"2301-56791","REITBOBMD1","2008-07-22","AHY","F",31.6,82,"GRCA"
"2301-56806","WILLTERMD1","2008-06-05","AHY","M",NA,NA,"NOCA"
"2301-56807","WILLTERMD1","2008-06-05","AHY","M",NA,NA,"GRCA"
"2301-56808","WILLTERMD1","2008-06-05","AHY","M",NA,NA,"GRCA"
"2301-56810","LEONTESDC1","2008-06-10","AHY","F",35.9,86,"GRCA"
"2301-56811","LEONTESDC1","2008-06-10","AHY","F",NA,NA,"NOCA"
"2301-56836","CAMPROSMD1","2008-06-25","AHY","F",42.1,94,"GRCA"
"2301-56837","CAMPROSMD1","2008-06-25","AHY","M",37.9,87,"GRCA"
"2301-56838","CAMPROSMD1","2008-06-25","AHY","F",42.9,90,"NOCA"
"2301-56839","CAMPROSMD1","2008-06-25","ASY","M",35.8,89,"GRCA"
"2301-56840","CAMPROSMD1","2008-06-25","HY","M",44.2,91,"NOCA"
"2301-56841","CAMPROSMD1","2008-06-25","HY","U",43.8,84,"NOCA"
"2301-56842","CAMPROSMD1","2008-06-25","HY","M",43.6,97,"NOCA"
"2301-56843","CAMPROSMD1","2008-06-25","HY","U",39.3,90,"NOCA"
"2301-56844","WOLFKARDC1","2008-06-26","AHY","M",34.4,89,"GRCA"
"2301-56880","ONTAHOUDC1","2008-07-11","AHY","F",47.4,94,"NOCA"
"2301-56881","ONTAHOUDC1","2008-07-11","HY","U",35.9,88.5,"GRCA"
"2301-56905","MISSEDDC1","2007-06-21","AHY","M",42.5,96,"NOCA"
"2301-56908","OLONMARDC1","2007-06-29","AHY","M",38.2,91,"GRCA"
"2301-56925","REITBOBMD1","2007-07-13","HY","M",41,92,"NOCA"
"2301-56941","VERSBETMD1","2009-07-02","AHY","M",32.6,87,"GRCA"
"2301-56954","BARBJERMD1","2009-07-13","HY","U",42.5,84,"NOCA"
"2301-56955","BARBJERMD1","2009-07-13","HY","U",37,83,"NOCA"
"2301-56956","BARBJERMD1","2009-07-13","AHY","M",42.5,93,"NOCA"
"2301-56957","BARBJERMD1","2009-07-13","HY","U",39.7,82,"NOCA"
"2301-56959","BARBJERMD1","2009-07-13","AHY","F",44.1,91,"NOCA"
"2301-56961","WOLFAMYDC1","2009-07-20","AHY","U",33.6,91,"GRCA"
"2301-56962","WOLFAMYDC1","2009-07-20","AHY","F",38.1,91,"NOCA"
"2301-56963","WOLFAMYDC1","2009-07-20","AHY","M",38.7,94,"NOCA"
"2301-56964","BROWANNMD1","2009-07-24","AHY","F",35.7,87,"NOCA"
"2301-56972","LEONTESDC1","2010-05-13","AHY","M",38,86,"GRCA"
"2301-56973","LEONTESDC1","2010-05-13","AHY","M",42.9,91,"NOCA"
"2301-56974","LEONTESDC1","2010-05-13","AHY","M",33.7,85,"GRCA"
"2301-56975","KESTSABDC1","2010-05-15","AHY","F",45.3,92.5,"NOCA"
"2301-56976","KESTSABDC1","2010-05-15","AHY","F",42,92,"GRCA"
"2301-56977","KESTSABDC1","2010-05-15","AHY","M",37.3,91,"GRCA"
"2301-56982","CAMPGLOMD1","2010-05-21","AHY","M",44.7,96,"NOCA"
"2301-56983","CAMPGLOMD1","2010-05-21","AHY","M",41.7,92,"NOCA"
"2301-56984","CAMPGLOMD1","2010-05-21","AHY","M",44.7,96.5,"NOCA"
"2301-56996","BUISNORVA1","2010-05-29","AHY","F",42.1,90,"NOCA"
"2301-56997","BUISNORVA1","2010-05-29","AHY","F",37,87,"GRCA"
"2301-56998","BUISNORVA1","2010-05-29","AHY","F",34.4,86,"GRCA"
"2301-56999","BUISNORVA1","2010-05-29","AHY","F",35.7,88,"GRCA"
"2301-57000","BUISNORVA1","2010-05-29","AHY","M",32.4,88,"GRCA"
"2331-41350","BROWANNDC1","2010-05-19","AHY","M",35.3,94,"GRCA"
"2341-29313","FISHFERVA1","2008-06-22","AHY","M",21.3,65,"SOSP"
"2341-29315","MCDOELIVA1","2008-06-29","AHY","M",21.1,60,"CARW"
"2341-29316","MCDOELIVA1","2008-06-29","AHY","M",20.1,65,"SOSP"
"2341-29323","PIROELADC1","2008-07-09","AHY","M",21.4,65,"SOSP"
"2341-29324","BRIGKIMMD1","2008-07-11","HY","U",12.3,59,"CARW"
