"site","date","birdID"
"BURDROBVA1","2015-04-25","2460-22991"
"BLOCDAVMD1","2015-07-11","2441-96351"
"BLOCDAVMD1","2015-07-11","2641-63926"
"ROHRSALMD1","2015-05-07","2710-25968"
"BUISNORVA1","2015-07-06","2531-74567"
"STUECHRVA2","2015-03-15","2531-90240"
"NEWBCARVA1","2015-04-20","2710-53905"
"STEWBETMD1","2015-04-23","2710-25933"
"NEWBCARVA1","2015-04-20","2710-53938"
"NEWBCARVA1","2015-03-30","2421-11942"
"BARBJERMD1","2015-06-18","2641-63959"
"TATEJUAMD1","2015-04-14","2641-63971"
"ONTAHOUDC1","2015-06-16","2421-11983"
"FARYSIMMD1","2015-06-26","1352-46523"
"FISHFERVA1","2015-07-08","2571-70347"
"FISHFERVA1","2015-06-13","1232-94726"
"FISHFERVA1","2015-05-08","1232-94727"
"BUISNORVA1","2015-07-06","2571-90063"
"PADORAMVA1","2015-06-24","2641-63860"
"BLOCDAVMD1","2015-07-11","2571-70361"
"JACOMERMD1","2015-07-16","2571-90095"
"STEWBETMD1","2015-07-29","2661-31540"
"STEWBETMD1","2015-07-29","2661-31543"
"MORRCHRVA1","2015-04-23","2710-25956"
"NEWBCARVA1","2008-07-11","1991-21138"
"GECACARVA1","2008-06-18","2460-22847"
"REITBOBMD1","2009-06-01","2301-56791"
"REITBOBMD1","2009-08-26","2301-56791"
"REITBOBMD1","2009-05-15","2301-56785"
"REITBOBMD1","2009-09-15","2301-56785"
"REITBOBMD1","2010-06-10","2261-38311"
"REITBOBMD1","2010-07-06","2261-38311"
"STEWBETMD1","2010-06-05","2281-69406"
"LANDCELVA1","2010-06-04","2281-69118"
"MCDOELIVA1","2010-07-17","1232-88302"
"PERRCHRMD1","2010-07-07","2301-56601"
"COLSKATMD1","2010-06-30","2460-22747"
"LANDCELVA1","2010-07-10","2301-56632"
"STEWBETMD1","2010-06-05","2301-56641"
"REITBOBMD1","2010-06-13","2341-29605"
"REITBOBMD1","2010-07-06","2341-29605"
"FARYSIMMD1","2010-05-14","2301-55938"
"STEWBETMD1","2010-06-05","2540-62887"
"FISHFERVA1","2010-07-03","2411-37711"
"FISHFERVA1","2010-07-03","2411-37713"
"GECACARVA1","2010-07-02","2441-14108"
"GECACARVA1","2010-07-02","2590-82407"
"TATEJUAMD1","2010-06-22","2411-37754"
"LANDCELVA1","2010-06-04","1292-64325"
"LANDCELVA1","2010-06-04","2441-14123"
"VERSBETMD1","2010-05-29","2441-14041"
"REITBOBMD1","2011-03-12","1202-99063"
"REITBOBMD1","2011-04-05","1202-99063"
"GECACARVA1","2012-06-26","2441-14108"
"REITBOBMD1","2012-07-07","2301-56785"
"REITBOBMD1","2012-09-10","2301-56785"
"VONGJENMD1","2012-06-07","2411-37406"
"CAMPGLOMD1","2013-07-01","2301-56982"
"TATEJUAMD1","2014-06-19","2421-34682"
"TATEJUAMD1","2014-06-19","2641-63670"
"TATEJUAMD1","2015-06-17","2641-63972"
"SILLSCOMD1","2015-04-09","2571-70337"
"SILLSCOMD1","2015-07-23","2571-70337"
"CAMPROSMD1","2002-06-26","1141-05577"
"BLOCDAVMD1","2002-06-23","1141-05611"
"TATEJUAMD1","2002-06-18","1751-51948"
"STURCARMD1","2002-06-06","2250-24059"
"ROHRSALMD1","2003-04-30","791-17033"
"CAMPGLOMD1","2008-01-11","2281-69466"
"CAMPGLOMD1","2009-04-23","2281-69466"
"BALASUCMD1","2009-03-28","2301-55930"
"BALASUCMD1","2009-04-22","2301-55930"
"VONGJENMD1","2010-04-10","2590-82308"
"VONGJENMD1","2010-09-07","2590-82308"
"VONGJENMD1","2010-04-10","2441-14203"
"VONGJENMD1","2010-06-08","2441-14203"
"VONGJENMD1","2010-08-22","2441-14203"
"VONGJENMD1","2010-12-16","2441-14203"
"CAMPGLOMD1","2012-03-01","2301-56611"
"BEALTOMMD1","2014-07-22","2441-96553"
"BEALTOMMD1","2014-10-06","2441-96553"
"BEALTOMMD1","2014-12-03","2441-96553"
"ROHRSALMD1","2016-06-22","2570-44724"
"PERRCHRMD1","2016-06-29","2711-77542"
"PERRCHRMD1","2016-06-29","2710-54337"
"BUISNORVA1","2016-07-05","2531-74567"
"WILLTERMD1","2016-06-07","2711-77607"
"COLSKATMD1","2016-05-07","2750-64417"
"COLSKATMD1","2016-05-07","2531-74593"
"COLSKATMD1","2016-05-07","2571-90051"
"NEWBCARVA1","2016-05-31","2421-11431"
"MANNJANDC1","2016-06-07","2651-51547"
"JACOMERMD1","2016-06-11","2651-51543"
"JACOMERMD1","2016-06-11","2641-63957"
"BRIGKIMMD1","2016-06-16","2651-47542"
"BRIGKIMMD1","2016-06-16","2441-14184"
"BLOCDAVMD1","2016-06-16","1342-72980"
"BLOCDAVMD1","2016-06-16","2651-52497"
"BLOCDAVMD1","2016-06-16","2441-96351"
"MANNJANDC1","2016-06-21","2411-37740"
"MANNJANDC1","2016-06-21","2651-51549"
"MANNJANDC1","2016-06-21","2641-63845"
"PIROELADC1","2016-06-26","2730-26440"
"MOLIKARMD1","2016-06-27","2711-77541"
"GERYERIMD1","2016-06-28","2561-56891"
"GERYERIMD1","2016-06-28","2561-56890"
"MOSMCARMD1","2016-06-30","2441-13854"
"MOSMCARMD1","2016-06-30","2411-37220"
"MOSMCARMD1","2016-06-30","2810-03329"
"STANJEFMD1","2016-07-02","2810-03332"
"STANJEFMD1","2016-07-02","2710-53949"
"FISHFERVA1","2016-07-05","2571-70346"
"FISHFERVA1","2016-07-05","2750-64479"
"FISHFERVA1","2016-07-05","2531-90261"
"PHARAIMMD1","2016-07-06","2710-54347"
"LANDCELVA1","2016-07-09","2441-13876"
"MORRCHRVA1","2016-07-09","2750-41353"
"ONTAHOUDC1","2016-07-12","2421-11984"
"CAMPGLOMD1","2016-07-14","2690-95995"
"CAMPGLOMD1","2016-07-14","2641-63786"
"MCDOELIVA1","2016-07-15","2661-32565"
"CLARCOLDC1","2016-06-12","2531-74547"
"FARYSIMMD1","2016-07-02","2421-11502"
"FARYSIMMD1","2016-07-02","2711-77613"
"PADORAMVA1","2016-06-07","2441-13880"
"ZAMBTRAMD1","2016-04-14","791-17259"
"VONGJENMD1","2016-07-07","2411-37406"
"VONGJENMD1","2016-07-07","2411-37404"
"VONGJENMD1","2016-07-07","2750-41403"
"CAMPROSMD1","2016-06-14","2651-56750"
"CAMPROSMD1","2016-06-14","2651-56749"
"CAMPROSMD1","2016-06-14","2651-56746"
