"site","lon","lat","fips","can","imp","medianIncome","hDensity","age","eduHS","eduC","marred"
"VERSBETMD1",-76.5975293813626,38.7227781827962,"24003708001",7.6317253,2.339798149,93438,8.73524339187549e-05,46.3,0.285494420931127,0.156983455175067,0.580520732883317
"VONGJENMD1",-77.1313422998469,39.0098526330768,"24031704502",39.74295739,17.46857133,184500,0.00124994246183618,44.3,0.0552423900789177,0.294813979706877,0.71105527638191
"WILLTERMD1",-76.9176544071728,38.930063504868,"24033804200",27.76305275,36.48290231,1e+05,0.00121031174189908,43.8,0.162003610108303,0.254512635379061,0.476020610384463
"ZAMBTRAMD1",-77.0750031602788,38.9827751648912,"24031705100",38.9206214,17.42568587,173092,0.00151775726292608,45.7,0.0310593455352191,0.309206877426511,0.625303545410393
"GERYERIMD1",-77.118616,38.999316,"24031704600",21.482,32.225,146116,0.00278758506854264,40,0.0567010309278351,0.333906071019473,0.621166415284062
"MISSEDDC1",-76.996958,38.883588,"11001007000",2.36,61.429,110192,0.00606115005952493,34.3,0.0758104738154613,0.351122194513716,0.360669456066946
"OBRICHRMD1",-76.924433,39.013183,"24033806900",29.381,26.456,74977,0.00233923854114035,36,0.246992481203008,0.211278195488722,0.413595166163142
"OLONMARDC1",-77.0839,38.949,"11001001001",26.327,29.959,161450,0.00325784525072085,38.2,0.0371225235622235,0.286593575687632,0.532118737238888
"WOLFAMYDC1",-77.043167,38.918567,"11001004002",0,81.033,89868,0.0123642525223999,34.6,0.0436639772187945,0.390128144280968,0.254725085910653
"WOLFKARDC1",-77.0618,38.941583,"11001001302",5.22,48.631,84758,0.0047934846278881,35.2,0.0306997039114851,0.305750350631136,0.293337019629527
