"bandNumber","site","bandDate","age","sex","mass","wing","species","bandYear","bci","imp","can","imp2","can2","cCats","tCats","ch"
"1232-94726","FISHFERVA1",2014-06-23,"AHY","M",75.8,126,"AMRO",2014,-0.012542945071845,16.41336765,33.96080522,269.398637614067,1153.33629119078,1,0.166666666666667,"00000000000000110"
"1232-94727","FISHFERVA1",2014-06-23,"AHY","F",80.5,125,"AMRO",2014,0.728524366664283,16.41336765,33.96080522,269.398637614067,1153.33629119078,1,0.166666666666667,"00000000000000110"
"1232-94730","BURDROBVA1",2014-06-26,"AHY","F",95.1,121,"AMRO",2014,NA,26.95895614,18.32253748,726.785316158444,335.715379706005,0,0.166666666666667,"00000000000000100"
"1232-94732","BLOCDAVMD1",2014-07-03,"HY","U",72.6,123,"AMRO",2014,-0.0189774587667276,18.61439418,52.86125445,346.495670688418,2794.31222202764,0,1.33333333333333,"00000000000000100"
"12329-64707","MORRCHRVA1",2013-06-30,"AHY","M",76,131,"AMRO",2013,-0.626526053794751,0.253957472,40.52244712,0.0644943975846308,1642.0687205932,0,0,"00000000000001000"
"1271-42500","BALASUCMD1",2015-05-16,"AHY","M",NA,NA,"AMRO",2015,NA,14.83659224,65.48449142,220.124469296028,4288.21861653605,0,0,"00000000000000010"
"1272-42404","STANJEFMD1",2012-05-23,"AHY","F",80.1,124,"AMRO",2012,0.824015414028827,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000000010000"
"1272-42405","STANJEFMD1",2012-05-23,"AHY","M",73.4,124,"AMRO",2012,-0.0507484048246906,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000000010000"
"1272-42406","STANJEFMD1",2012-05-23,"AHY","F",73.4,123,"AMRO",2012,0.0869730032084187,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000000010000"
"1272-42411","MCDOELIVA1",2012-06-04,"AHY","M",74.9,129,"AMRO",2012,-0.512937570079085,33.98009568,18.54713354,1154.64690242195,343.996162550593,0.666666666666667,0,"00000000000010000"
"1272-42412","MCDOELIVA1",2012-06-04,"AHY","U",70.3,125,"AMRO",2012,-0.584488847580288,33.98009568,18.54713354,1154.64690242195,343.996162550593,0.666666666666667,0,"00000000000010000"
"1272-42413","JACOMERMD1",2012-06-22,"AHY","F",77.3,121,"AMRO",2012,0.90354445011561,35.1344684,18.71693432,1234.4308697506,350.323630339194,0,0,"00000000000010000"
"1272-42414","ONTAHOUDC1",2012-07-11,"AHY","M",49.1,110,"NOMO",2012,-0.273840072538355,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00000000000011000"
"1272-42415","ONTAHOUDC1",2012-07-11,"AHY","F",61.6,126,"AMRO",2012,-1.81497609703406,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00000000000010000"
"1272-42416","ONTAHOUDC1",2012-07-11,"AHY","M",78.1,125,"AMRO",2012,0.419580080959678,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00000000000010000"
"1272-42421","BROWANNDC1",2012-07-19,"HY","U",74,127,"AMRO",2012,-0.370960936110261,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00000000000010100"
"1272-42426","BURDROBVA1",2013-07-24,"HY","U",76.5,114,"AMRO",2013,1.94917434425058,26.95895614,18.32253748,726.785316158444,335.715379706005,0,0.166666666666667,"00000000000001000"
"1272-42427","BURDROBVA1",2013-07-24,"AHY","F",72.7,125,"AMRO",2013,-0.275544561875681,26.95895614,18.32253748,726.785316158444,335.715379706005,0,0.166666666666667,"00000000000001000"
"1272-42487","OLONMARDC1",2015-07-14,"AHY","F",77.7,125,"AMRO",2015,0.368089366675578,29.959,26.327,897.541681,693.110929,NA,0.333333333333333,"00000000000000010"
"1272-42488","ONTAHOUDC1",2015-06-16,"AHY","M",71.4,132,"AMRO",2015,-1.2843582249988,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00000000000000010"
"1272-42498","BALASUCMD1",2015-05-16,"AHY","M",76.2,130,"AMRO",2015,-0.480043667644232,14.83659224,65.48449142,220.124469296028,4288.21861653605,0,0,"00000000000000010"
"1272-42499","BALASUCMD1",2015-05-16,"AHY","F",58.1,127,"AMRO",2015,-2.3612586801065,14.83659224,65.48449142,220.124469296028,4288.21861653605,0,0,"00000000000000010"
"1272-43006","WOLFAMYDC1",2008-06-05,"AHY","M",74.1,123,"AMRO",2008,0.179679657436667,81.033,0,6566.347089,0,NA,0,"00000000100000000"
"1272-43010","FISHFERVA1",2008-06-22,"AHY","F",72.6,125,"AMRO",2008,-0.288417240446707,16.41336765,33.96080522,269.398637614067,1153.33629119078,1,0.166666666666667,"00000000100000000"
"1272-43015","BUISNORVA1",2008-07-13,"AHY","M",70.4,125,"AMRO",2008,-0.571616169009261,3.421736318,74.63208501,11.7082794299202,5569.94811293987,0,0,"00000000100000000"
"1272-43016","BUISNORVA1",2008-07-13,"HY","U",68.9,123,"AMRO",2008,-0.508998345401764,3.421736318,74.63208501,11.7082794299202,5569.94811293987,0,0,"00000000100000000"
"1272-43050","MANNJANDC1",2010-07-01,"AHY","F",65.8,125,"AMRO",2010,-1.16375938327642,6.894112475,60.19210468,47.5287868179506,3623.08946580808,0.666666666666667,0.166666666666667,"00000000001000000"
"1272-43052","WILLTERMD1",2010-06-28,"AHY","M",79,129,"AMRO",2010,-0.0136547705728003,36.48290231,27.76305275,1331.002160961,770.787097999283,0.333333333333333,0.166666666666667,"00000000001010000"
"1272-43053","CLARCOLDC1",2010-06-25,"AHY","M",70.1,129,"AMRO",2010,-1.09746377437913,63.33814942,2.679418486,4011.72117195025,7.17928342311853,0.333333333333333,0,"00000000001000000"
"1272-43069","BROWANNDC1",2010-05-19,"AHY","M",69.8,129.5,"AMRO",2010,-1.19174381465965,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00000000001000000"
"1272-43070","FARYSIMMD1",2010-05-15,"AHY","F",53.4,111,"NOMO",2010,0.353516230388825,37.24653924,20.51843583,1387.30468535686,421.006208909828,0.333333333333333,0.166666666666667,"00000000001000001"
"1272-43085","VONGJENMD1",2010-05-10,"AHY","F",69.1,124,"AMRO",2010,-0.612163990059039,17.46857133,39.74295739,305.150984311298,1579.50266210336,0.333333333333333,0,"00000000001000000"
"1272-43086","VONGJENMD1",2010-05-10,"AHY","F",84.1,121,"AMRO",2010,1.83051959973089,17.46857133,39.74295739,305.150984311298,1579.50266210336,0.333333333333333,0,"00000000001100000"
"1272-43104","VONGJENMD1",2008-06-12,"AHY","M",66.5,131,"AMRO",2008,-1.75245803244678,17.46857133,39.74295739,305.150984311298,1579.50266210336,0.333333333333333,0,"00000000100000000"
"1272-43107","GERYERIMD1",2008-07-09,"HY","U",76.8,128,"AMRO",2008,-0.152423989153595,32.225,21.482,1038.450625,461.476324,NA,0.166666666666667,"00000000100000000"
"1272-43123","SILLSCOMD1",2010-06-24,"AHY","F",79.1,125,"AMRO",2010,0.548306866669929,36.37380132,18.83333056,1323.05342246683,354.69433998223,1.33333333333333,0.5,"00000000001000000"
